id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_perfect
1,A2,5,abkuerzungen,section_title,Abkürzung,die,-en,Noun,,
2,A2,5,abkuerzungen,main,ca.,,,Other,,
3,A2,5,abkuerzungen,main,d.h.,,,Other,,
4,A2,5,abkuerzungen,main,ICE,,,Other,,
5,A2,5,abkuerzungen,main,Lkw,der,-s,Noun,,
6,A2,5,abkuerzungen,main,PC,der,-s,Noun,,
7,A2,5,abkuerzungen,main,SMS,die,,Noun,,
8,A2,5,abkuerzungen,main,usw.,,,Other,,
9,A2,5,abkuerzungen,main,WC,das,-s,Noun,,
10,A2,5,abkuerzungen,main,z.B.,,,Other,,
11,A2,5,anweisungssprache,section_title,Anweisungssprache,die,,Noun,,
12,A2,5,anweisungssprache,main,Antwortbogen,der,-,Noun,,
13,A2,5,anweisungssprache,main,Aufgabe,die,-n,Noun,,
14,A2,5,anweisungssprache,main,Beispiel,das,-e,Noun,,
15,A2,5,anweisungssprache,main,Durchsage,die,-n,Noun,,
16,A2,5,anweisungssprache,main,Lösung,die,-en,Noun,,
17,A2,5,anweisungssprache,main,markieren,,,Verb,,
18,A2,5,anweisungssprache,main,Prüfer,der,-,Noun,,
19,A2,5,anweisungssprache,sub,Prüferin,die,-nen,Noun,,
20,A2,5,anweisungssprache,main,Prüfung,die,-en,Noun,,
21,A2,5,anweisungssprache,main,Punkt,der,-e,Noun,,
22,A2,5,anweisungssprache,main,Teil,der,-e,Noun,,
23,A2,5,anweisungssprache,main,Test,der,-s,Noun,,
24,A2,5,anweisungssprache,main,Text,der,-e,Noun,,
25,A2,5,anweisungssprache,main,Wörterbuch,das,¨-er,Noun,,
26,A2,5,berufe,section_title,Beruf,der,-e,Noun,,
27,A2,5,berufe,main,Angestellte,der/die,-n,Noun,,
28,A2,5,berufe,main,Arzt,der,¨-e,Noun,,
29,A2,5,berufe,sub,Ärztin,die,-nen,Noun,,
30,A2,5,berufe,main,Auszubildende,der/die,-n,Noun,,
31,A2,5,berufe,main,Autor,der,-en,Noun,,
32,A2,5,berufe,sub,Autorin,die,-nen,Noun,,
33,A2,5,berufe,main,Babysitter,der,-,Noun,,
34,A2,5,berufe,main,Bäcker,der,-,Noun,,
35,A2,5,berufe,sub,Bäckerin,die,-nen,Noun,,
36,A2,5,berufe,main,Doktor,der,-en,Noun,,
37,A2,5,berufe,sub,Doktorin,die,-nen,Noun,,
38,A2,5,berufe,main,Fahrer,der,-,Noun,,
39,A2,5,berufe,sub,Fahrerin,die,-nen,Noun,,
40,A2,5,berufe,main,Friseur,der,-e,Noun,,
41,A2,5,berufe,sub,Friseurin,die,-nen,Noun,,
42,A2,5,berufe,main,Handwerker,der,-,Noun,,
43,A2,5,berufe,sub,Handwerkerin,die,-nen,Noun,,
44,A2,5,berufe,main,Hausmann,der,¨-er,Noun,,
45,A2,5,berufe,sub,Hausfrau,die,-en,Noun,,
46,A2,5,berufe,main,Journalist,der,-en,Noun,,
47,A2,5,berufe,sub,Journalistin,die,-nen,Noun,,
48,A2,5,berufe,main,Kaufmann,der,Kaufleute,Noun,,
49,A2,5,berufe,sub,Kauffrau,die,-en,Noun,,
50,A2,5,berufe,main,Kellner,der,-,Noun,,
